time,frequency
6.4623100000000004,28601.3
6.46281,28544.5
6.46331,28503
6.46381,28503.8
6.46431,28477.5
6.46482,28385.6
6.46532,28340.4
6.46582,28403.9
6.46632,28189.8
6.46682,28206.8
6.46732,27998.7
6.46783,28064.7
6.46833,28041.9
6.46883,27982.2
6.46933,27967
6.46983,27959.7
6.47033,27968.2
6.47084,28072.8
6.47134,27929.4
6.47184,27952.2
6.47234,27992.2
6.47284,28044.9
6.47335,28028.9
6.47385,27977.4
6.47435,28020
6.47485,27939.1
6.47535,27876.4
6.47585,27955.9
6.47636,27844.2
6.47686,27745.3
6.47736,28195.8
6.47786,27638.8
6.47836,27925.1
6.47886,27622.1
6.47937,27508.7
6.47987,28635.7
6.48037,28291.4
6.48087,18968.4
6.48137,18778.6
6.48188,18815.5
6.48238,18149.1
6.48288,17904.5
6.48338,0
6.48388,0
6.48438,0
6.48489,0
6.48539,0
6.48589,0
6.48639,0
6.48689,0
6.48739,0
6.4879,0
6.4884,0
6.4889,0
6.4894,0
6.50997,0
6.51048,0
6.51098,0
6.51148,0
6.51198,0
6.51248,0
6.51298,0
6.51349,0
6.51399,0
6.51449,0
6.51499,0
6.51549,0
6.51599,0
6.5165,0
6.517,0
6.5175,0
6.518,37070.6
6.5185,36830.4
6.51901,36960.1
6.51951,37070.3
6.52001,38214.4
6.52051,38418.1
6.52101,38456.5
6.52151,37599.7
6.52202,37811.5
6.52252,37474.8
6.52302,37385.9
6.52352,37771.4
6.52402,34873.9
6.52452,33903
6.52503,32795.9
6.52553,31985
6.52603,31388.3
6.52653,30461.6
6.52703,29272.5
6.52754,28614.3
6.52804,27316.8
6.52854,26570.2
6.52904,25740.2
6.52954,24785.9
6.53004,23808.2
6.53055,22971.3
6.53105,22818.3
6.53155,22599.6
6.53205,22336.5
6.53255,22108.2
6.53305,22061.4
6.53356,20974.8
6.53406,20508.2
6.53456,20284.6
6.53506,0
6.53556,0
6.53607,0
6.53657,0
6.53707,0
6.53757,0
6.53807,0
6.53857,0
6.53908,0
6.53958,0
6.54008,0
6.54058,15928.8
6.54108,15751.7
6.54158,15442.9
6.54209,15375.5
6.54259,15165.1
6.54309,15049
6.54359,15040.8
6.54409,14807.2
6.5446,14684.7
6.5451,14528.7
6.5456,14490.3
6.5461,14474
6.5466,14386.2
6.5471,14386.9
6.54761,14175.1
6.54811,14119.6
6.54861,13980.9
6.54911,13852.2
6.54961,13759.6
6.55011,13661.2
6.55062,13539
6.55112,13571.8
6.55162,13436.9
6.55212,13447
6.55262,13326.5
6.55313,13243.7
6.55363,13163.1
6.55413,13044.5
6.55463,13040.7
6.55513,13032.6
6.55563,13023.6
6.55614,12967.8
6.55664,12955
6.55714,12930.7
6.55764,12813.7
6.55814,12674.3
6.55864,12792
6.55915,12459
6.55965,12307.8
6.56015,12317.3
6.56065,12184.3
6.56115,12155.6
6.56166,12157
6.56216,12121.5
6.56266,12153.3
6.56316,12079.5
6.56366,11975.1
6.56416,11591.9
6.56467,11171.2
6.56517,23720
6.56567,30491.4
6.56617,30343.4
6.56667,30258.1
6.56717,30120
6.56768,29966
6.56818,29783.8
6.56868,29672
6.56918,29574.2
6.56968,29560.3
6.57019,29541.7
6.57069,29570.5
6.57119,29404.2
6.57169,29226.6
6.57219,29159.1
6.57269,28969.8
6.5732,28751.7
6.5737,28651
6.5742,28579.1
6.5747,28468.5
6.5752,28440.9
6.5757,28437
6.57621,28379.8
6.57671,28396.1
6.57721,28398.7
6.57771,28311
6.57821,28291.2
6.57872,28132.2
6.57922,28079.3
6.57972,28018.7
6.58022,28082.6
6.58072,27777.1
6.58122,27808
6.58173,27844.8
6.58223,27883.9
6.58273,27951.3
6.58323,27911.9
6.58373,27863.8
6.58423,27645.1
6.58474,27658.7
6.58524,27749.8
6.58574,27728.9
6.58624,27824.3
6.58674,27854.6
6.58725,27880.1
6.58775,27937.4
6.58825,27874.9
6.58875,27923
6.58925,27874.2
6.58975,27959.4
6.59026,27896.3
6.59076,27835.5
6.59126,27736.8
6.59176,27832.6
6.59226,27983.5
6.59276,18484.1
6.59327,17728.8
6.59377,18120
6.59427,0
6.59477,0
6.59527,0
6.59577,0
6.59628,0
6.59678,0
6.59728,40142.2
6.59778,40223
6.59828,40103.3
6.59879,40288
6.59929,40205.5
6.59979,40413.3
6.60029,40444.1
6.60079,41955.8
6.60129,41981.9
6.6018,39876
6.62488,0
6.62538,0
6.62588,0
6.62638,0
6.62688,0
6.62739,0
6.62789,0
6.62839,0
6.62889,0
6.62939,0
6.62989,0
6.6304,0
6.6309,0
6.6314,0
6.6319,0
6.6324,0
6.63291,0
6.63341,0
6.63391,0
6.63441,0
6.63491,39572.9
6.63541,38022.5
6.63592,38051.6
6.63642,37721.9
6.63692,37784.8
6.63742,37580.7
6.63792,37829.4
6.63842,37992.8
6.63893,37917.4
6.63943,37888.6
6.63993,37952.6
6.64043,37894
6.64093,37890.8
6.64144,37262.8
6.64194,27559.4
6.64244,27050.7
6.64294,26018.8
6.64344,25669.5
6.64394,24780.6
6.64445,23558.7
6.64495,22974.8
6.64545,22655.5
6.64595,22391.9
6.64645,22050.2
6.64695,21978.7
6.64746,21648
6.64796,21343.3
6.64846,20813.4
6.64896,20494.8
6.64946,20516.5
6.64997,20330.4
6.65047,0
6.65097,19590.7
6.65147,19150.7
6.65197,18808.8
6.65247,0
6.65298,0
6.65348,0
6.65398,0
6.65448,0
6.65498,0
6.65548,0
6.65599,0
6.65649,0
6.65699,15918.4
6.65749,15780.1
6.65799,15696.4
6.6585,15414
6.659,15220.9
6.6595,15134
6.66,15010.7
6.6605,14873.4
6.661,14564.3
6.66151,14484.9
6.66201,14353.4
6.66251,14346.2
6.66301,14310.6
6.66351,14237.4
6.66401,14069
6.6645200000000004,13996.5
6.66502,13855.4
6.66552,13817.2
6.66602,13715.9
6.66652,13538.9
6.66703,13556.6
6.66753,13486.4
6.66803,13336.5
6.66853,13225.8
6.66903,13160.4
6.66953,13124.2
6.67004,12910.9
6.67054,13026.1
6.67104,12943.6
6.67154,12887.8
6.67204,12877.2
6.67254,12930.9
6.67305,12948.3
6.67355,12572.7
6.67405,12608.9
6.67455,12374.1
6.67505,12289.6
6.67556,12311.9
6.67606,12160
6.67656,12193.9
6.67706,12180.3
6.67756,12166.7
6.67806,12072.6
6.67857,12089.4
6.67907,11840
6.67957,11659
6.68007,11390
6.68057,11388.5
6.68107,11241.6
6.68158,11099.4
6.68208,30332.6
6.68258,30194.4
6.68308,30047
6.68358,29842.9
6.68408,29640.4
6.68459,29533.5
6.68509,29492.4
6.68559,29427.7
6.68609,29471.3
6.68659,29427.3
6.6871,29415
6.6876,29336.9
6.6881,29155.3
6.6886,29026.2
6.6891,28874.6
6.6896,28848.2
